Reason 1,Reason 2,Reason 3,Reason 4,Day of the Week,Month,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Normal Weight,Overweight,Obese,Education,Children,Pets,Excessive Absenteeism
0,0,0,1,2,7,289,36,33,239.554,0,0,1,0,1,1,1
0,0,0,0,2,7,118,13,50,239.554,0,0,1,0,1,0,0
0,0,0,1,3,7,179,51,38,239.554,0,0,1,0,0,0,0
1,0,0,0,4,7,279,5,39,239.554,1,0,0,0,1,0,1
0,0,0,1,4,7,289,36,33,239.554,0,0,1,0,1,1,0
0,0,0,1,5,7,179,51,38,239.554,0,0,1,0,0,0,0
0,0,0,1,5,7,361,52,28,239.554,0,1,0,0,1,1,1
0,0,0,1,5,7,260,50,36,239.554,1,0,0,0,1,0,1
0,0,1,0,1,7,155,12,34,239.554,0,1,0,0,1,0,1
0,0,0,1,1,7,235,11,37,239.554,0,1,0,1,1,1,1
1,0,0,0,1,7,260,50,36,239.554,1,0,0,0,1,0,1
1,0,0,0,2,7,260,50,36,239.554,1,0,0,0,1,0,1
1,0,0,0,3,7,260,50,36,239.554,1,0,0,0,1,0,1
1,0,0,0,3,7,179,51,38,239.554,0,0,1,0,0,0,0
0,0,0,1,3,7,179,51,38,239.554,0,0,1,0,0,0,1
1,0,0,0,5,7,246,25,41,239.554,1,0,0,0,0,0,1
0,0,0,1,5,7,179,51,38,239.554,0,0,1,0,0,0,0
0,0,1,0,1,7,179,51,38,239.554,0,0,1,0,0,0,1
1,0,0,0,4,7,189,29,33,239.554,0,1,0,0,1,1,1
0,0,0,1,3,8,248,25,47,205.917,0,0,1,0,1,1,0
1,0,0,0,3,8,330,16,28,205.917,0,1,0,1,0,0,1
1,0,0,0,1,8,179,51,38,205.917,0,0,1,0,0,0,0
1,0,0,0,1,8,361,52,28,205.917,0,1,0,0,1,1,1
0,0,0,1,5,8,260,50,36,205.917,1,0,0,0,1,0,1
0,0,1,0,1,8,289,36,33,205.917,0,0,1,0,1,1,1
0,0,0,1,1,8,361,52,28,205.917,0,1,0,0,1,1,1
0,0,0,1,2,8,289,36,33,205.917,0,0,1,0,1,1,0
0,0,0,1,3,8,157,27,29,205.917,1,0,0,0,0,0,1
0,0,1,0,3,8,289,36,33,205.917,0,0,1,0,1,1,1
0,0,0,1,5,8,179,51,38,205.917,0,0,1,0,0,0,0
0,0,1,0,1,8,179,51,38,205.917,0,0,1,0,0,0,1
0,0,1,0,4,8,235,29,48,205.917,0,0,1,0,1,1,1
0,0,0,1,4,8,235,11,37,205.917,0,1,0,1,1,1,1
0,0,1,0,1,8,235,29,48,205.917,0,0,1,0,1,1,1
0,0,0,1,1,8,179,51,38,205.917,0,0,1,0,0,0,0
0,0,0,1,1,8,361,52,28,205.917,0,1,0,0,1,1,0
0,0,0,1,2,8,289,36,33,205.917,0,0,1,0,1,1,1
1,0,0,0,4,8,291,50,32,205.917,1,0,0,0,0,0,1
0,0,0,1,5,8,235,29,48,205.917,0,0,1,0,1,1,1
0,0,0,1,5,8,260,50,36,205.917,1,0,0,0,1,0,1
0,0,0,1,2,9,184,42,27,241.476,1,0,0,0,0,0,0
0,0,0,1,1,9,118,10,37,241.476,0,1,0,0,0,0,1
0,0,0,1,2,9,179,51,38,241.476,0,0,1,0,0,0,1
0,0,1,0,2,9,235,20,43,241.476,0,0,1,0,1,0,1
0,0,0,1,3,9,155,12,34,241.476,0,1,0,0,1,0,0
0,0,0,1,7,9,118,10,37,241.476,0,1,0,0,0,0,0
0,0,0,1,1,9,179,51,38,241.476,0,0,1,0,0,0,0
0,0,0,1,4,9,291,31,40,241.476,0,1,0,0,1,1,1
0,0,0,1,5,9,260,50,36,241.476,1,0,0,0,1,0,1
1,0,0,0,1,9,291,31,40,241.476,0,1,0,0,1,1,1
0,0,0,0,1,9,260,50,36,241.476,1,0,0,0,1,0,0
0,0,0,0,1,9,225,26,28,241.476,1,0,0,0,1,1,0
0,0,0,1,2,9,225,26,28,241.476,1,0,0,0,1,1,0
0,0,0,1,2,9,118,10,37,241.476,0,1,0,0,0,0,0
0,0,0,0,2,9,289,36,33,241.476,0,0,1,0,1,1,0
0,0,0,0,2,9,118,13,50,241.476,0,0,1,0,1,0,0
0,0,1,0,3,9,225,26,28,241.476,1,0,0,0,1,1,0
0,0,0,1,3,9,179,51,38,241.476,0,0,1,0,0,0,0
0,0,0,0,3,9,369,17,31,241.476,0,1,0,0,1,0,0
0,0,0,1,5,9,248,25,47,241.476,0,0,1,0,1,1,0
0,0,0,1,5,9,179,51,38,241.476,0,0,1,0,0,0,0
0,0,0,1,5,9,260,50,36,241.476,1,0,0,0,1,0,1
0,0,0,1,2,10,179,51,38,253.465,0,0,1,0,0,0,0
0,0,0,1,2,10,118,10,37,253.465,0,1,0,0,0,0,0
0,0,0,0,3,10,118,13,50,253.465,0,0,1,0,1,0,0
0,0,0,1,4,10,179,26,30,253.465,1,0,0,1,0,0,0
0,0,0,1,5,10,179,51,38,253.465,0,0,1,0,0,0,0
0,0,0,1,5,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,0,1,2,10,118,10,37,253.465,0,1,0,0,0,0,0
0,0,0,1,3,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,0,1,3,10,248,25,47,253.465,0,0,1,0,1,1,0
0,0,0,1,4,10,291,31,40,253.465,0,1,0,0,1,1,1
0,0,0,1,3,10,179,51,38,253.465,0,0,1,0,0,0,1
0,0,0,1,3,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,1,0,4,10,260,50,36,253.465,1,0,0,0,1,0,1
1,0,0,0,2,10,291,31,40,253.465,0,1,0,0,1,1,1
0,0,0,1,2,10,225,26,28,253.465,1,0,0,0,1,1,0
0,0,0,1,3,10,289,36,33,253.465,0,0,1,0,1,1,1
0,0,0,1,5,10,361,52,28,253.465,0,1,0,0,1,1,0
0,0,0,1,5,10,260,50,36,253.465,1,0,0,0,1,0,0
0,0,0,1,4,11,179,51,38,306.345,0,0,1,0,0,0,0
0,0,0,1,3,11,225,26,28,306.345,1,0,0,0,1,1,0
1,0,0,0,4,11,179,51,38,306.345,0,0,1,0,0,0,1
0,0,1,0,4,11,179,22,40,306.345,1,0,0,1,1,0,1
0,0,0,1,4,11,291,31,40,306.345,0,1,0,0,1,1,1
1,0,0,0,1,11,155,12,34,306.345,0,1,0,0,1,0,1
0,0,0,1,1,11,189,29,33,306.345,0,1,0,0,1,1,1
1,0,0,0,1,11,291,31,40,306.345,0,1,0,0,1,1,1
0,0,0,1,3,11,225,26,28,306.345,1,0,0,0,1,1,0
1,0,0,0,5,11,155,12,34,306.345,0,1,0,0,1,0,1
0,0,0,1,3,11,225,26,28,306.345,1,0,0,0,1,1,0
0,0,1,0,3,11,179,22,40,306.345,1,0,0,1,1,0,1
1,0,0,0,5,11,225,26,28,306.345,1,0,0,0,1,1,0
